Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
morinfocenter.ru,,Центр ЕСИМО Минтранса России,Сайт государственной информационной системы,Минэкономразвития России,,Российская Федерация,,Да,Нет,200,,,Не архивируется,,12418,RU,213.170.79.51,Федеральная исполнительная власть
video-duma.ru,videoduma.ru,ВИДЕОПАРЛАМЕНТ :: Видео-дума,Сайт государственной информационной системы,Государственная дума РФ,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,,,,Федеральная законодательная власть
videoduma.ru,video-duma.ru,ВИДЕОПАРЛАМЕНТ :: Видео-дума,Сайт государственной информационной системы,Государственная дума РФ,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,,,,Федеральная законодательная власть
uznai-prezidenta.ru,urok-v-kremle.ru,Президент России - гражданам школьного возраста,Просветительский сайт,Администрация Президента РФ,Активен,Российская Федерация,,Да,Нет,200,,,,,8291,RU,95.173.136.81,Федеральная исполнительная власть
rfpress.ru,,,Иное,,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,,,,Федеральная исполнительная власть
obsudiproekt.ru,,,Иное,,Неактивен,Российская Федерация,,Да,Да,200,,,Незначительный,Web Archive,24940,DE,116.202.162.202,Федеральная исполнительная власть
zakonoproekt2012.ru,,,Иное,,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,48287,RU,"194.85.61.76,109.70.26.37",Федеральная исполнительная власть
pfo.ru,pfo.gov.ru,Официальный сайт полномочного представителя Президента Российской Федерации в Приволжском федеральном округе ,Сайт подразделения при органе власти,Администрация Президента РФ,Активен,,,Да,Нет,200,,,,,8291,RU,95.173.135.140,Федеральная исполнительная власть
dumasoft.ru,,,Сайт государственной информационной системы,Государственная дума РФ,Неактивен,Российская Федерация,ГАС Законотворчество,Нет,Нет,,,,Незначительный,Web Archive,,,,Федеральная законодательная власть
may9.ru,,День Победы. 70 лет,Сайт мероприятия,Администрация Президента РФ,Активен,Российская Федерация,,Да,Да,200,,,Высокий,Web Archive,204720,RU,"185.141.227.88,185.141.227.79",Федеральная исполнительная власть
urok-v-kremle.ru,uznai-prezidenta.ru,Президент России - гражданам школьного возраста,Просветительский сайт,Администрация Президента РФ,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,42121,RU,194.226.127.18,Федеральная исполнительная власть
