Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
aktanyshsky.tat.sudrf.ru,,Актанышский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
almetevsky.tat.sudrf.ru,,Альметьевский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
apastovsky.tat.sudrf.ru,,Апастовский районный суд  Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
aviastroitelny.tat.sudrf.ru,,Авиастроительный районный суд г. Казани,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
aznakaevsky.tat.sudrf.ru,,Азнакаевский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
bavlinsky.tat.sudrf.ru,,Бавлинский городской суд Республики Татарстан (г. Бавлы),Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
bugulminsky.tat.sudrf.ru,,Бугульминский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
chistopolsky.tat.sudrf.ru,,Чистопольский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kirovsky.tat.sudrf.ru,,Кировский районный суд г. Казани,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
laishevsky.tat.sudrf.ru,,Лаишевский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
leninogorsky.tat.sudrf.ru,,Лениногорский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
mendeleevsky.tat.sudrf.ru,,Менделеевский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
naberezhno-chelninsky.tat.sudrf.ru,,Набережночелнинский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
novo-savinsky.tat.sudrf.ru,,Ново-Савиновский районный суд г. Казани,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
privolzhsky.tat.sudrf.ru,,Приволжский районный суд г. Казани,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
rybno-slobodsky.tat.sudrf.ru,,Рыбно-Слободский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sarmanovsky.tat.sudrf.ru,,Сармановский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sovetsky.tat.sudrf.ru,,Советский районный суд г. Казани Республики  Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tukaevsky.tat.sudrf.ru,,Тукаевский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.tat.sudrf.ru,,Управление Судебного департамента в Республике Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vahitovsky.tat.sudrf.ru,,Вахитовский районный суд г. Казани,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
verhne-uslonsky.tat.sudrf.ru,,Верхнеуслонский районный суд Республики Татарстан c. Верхний Услон,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vs.tat.sudrf.ru,,Верховный Суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vysogorsky.tat.sudrf.ru,,Высокогорский районный суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zainsky.tat.sudrf.ru,,Заинский городской суд Республики Татарстан,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Татарстан,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
techportal.sudrf.ru,,Портал технической поддержки Государственной автоматизированной системы Российской Федерации «Правосудие»,Иное,Судебный департамент при Верховном суде РФ,,,"""ГАС РФ """"Правосудие""""""",Да,Да,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
test1.sudrf.ru,,,Иное,Судебный департамент при Верховном суде РФ,Пустая страница,,"""ГАС РФ """"Правосудие""""""",Да,Да,404,,,Не архивируется,,12389,RU,79.133.87.8,Судебная власть
bondarsky.tmb.sudrf.ru,,Бондарский районный суд Тамбовской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oblsud.tmb.sudrf.ru,,Тамбовский областной суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sud20.tmb.sudrf.ru,,Сосновский районный суд Тамбовской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sud23.tmb.sudrf.ru,,Октябрьский районный суд г.Тамбова,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sud2468.tmb.sudrf.ru,,Рассказовский районный суд Тамбовской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tgvs.tmb.sudrf.ru,,Тамбовский гарнизонный военный суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тамбовская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kargosoksky.tms.sudrf.ru,,Каргасокский районный суд Томской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kolpashevsky.tms.sudrf.ru,,Колпашевский городской суд Томской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oblsud.tms.sudrf.ru,,Томский областной суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oktiabrsky.tms.sudrf.ru,,Октябрьский районный суд г.Томска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sovetsky.tms.sudrf.ru,,Советский районный суд г.Томска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tomsky.tms.sudrf.ru,,Томский районный суд Томской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tomskygvs.tms.sudrf.ru,,Томский гарнизонный военный суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.tms.sudrf.ru,,Управление Судебного департамента в Томской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Томская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tnapi.sudrf.ru,,,Сервис API,Судебный департамент при Верховном суде РФ,Неактивен,,"""ГАС РФ """"Правосудие""""""",Нет,Нет,,,,Не архивируется,,25159,RU,195.230.70.29,Судебная власть
aleksinsky.tula.sudrf.ru,,Алексинский городской суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
bogorodicky.tula.sudrf.ru,,Богородицкий районный суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
centralny.tula.sudrf.ru,,Центральный районный суд г.Тулы,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
dubensky.tula.sudrf.ru,,Дубенский районный суд г. Дубна,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
efremovsky.tula.sudrf.ru,,Ефремовский районный суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kimovsky.tula.sudrf.ru,,Кимовский городской суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
leninsky.tula.sudrf.ru,,Ленинский районный суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
novomoskovsky.tula.sudrf.ru,,Новомосковский городской суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oblsud.tula.sudrf.ru,,Тульский областной суд ,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
schekinsky.tula.sudrf.ru,,Щекинский  районный суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sovetsky.tula.sudrf.ru,,Советский районный суд г. Тулы,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.tula.sudrf.ru,,Управление Судебного департамента в Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
venevsky.tula.sudrf.ru,,Венёвский районный суд Тульской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тульская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
abatsky.tum.sudrf.ru,,Абатский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
armizonsky.tum.sudrf.ru,,Армизонский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
berduzhsky.tum.sudrf.ru,,Бердюжский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
leninsky.tum.sudrf.ru,,Ленинский районный суд  г. Тюмени,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
nizhnetavdinsky.tum.sudrf.ru,,Нижнетавдинский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oblsud.tum.sudrf.ru,,Тюменский областной суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
tumensky.tum.sudrf.ru,,Тюменский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.tum.sudrf.ru,,Управление Судебного департамента в Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
yalutorovsky.tum.sudrf.ru,,Ялуторовский районный суд Тюменской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тюменская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sut-holskiy.tva.sudrf.ru,,Сут-Хольский районный суд Республики Тыва,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Тыва,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
todjinskiy.tva.sudrf.ru,,Тоджинский районный суд Республики Тыва,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Тыва,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.tva.sudrf.ru,,Управление Судебного департамента в Республике Тыва,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Тыва,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vs.tva.sudrf.ru,,Верховный Cуд Республики Тыва,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Республика Тыва,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kaliazinsky.twr.sudrf.ru,,Калязинский районный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
kimrsky.twr.sudrf.ru,,Кимрский городской суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
nelidovsky.twr.sudrf.ru,,Нелидовский городской суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oblsud.twr.sudrf.ru,,Тверской областной суд,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
oleninsky.twr.sudrf.ru,,Оленинский районный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
ostashkovsky.twr.sudrf.ru,,Осташковский межрайонный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
proletarsky.twr.sudrf.ru,,Пролетарский районный суд г. Твери,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
rzhevsky.twr.sudrf.ru,,Ржевский городской суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sonkovsky.twr.sudrf.ru,,Сонковский районный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
torzhoksky.twr.sudrf.ru,,Торжокский межрайонный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
udomelsky.twr.sudrf.ru,,Удомельский городской суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.twr.sudrf.ru,,Управление Судебного департамента в Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vyshnevolocky.twr.sudrf.ru,,Вышневолоцкий межрайонный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zavolzhsky.twr.sudrf.ru,,Заволжский районный суд г. Твери,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zharkovsky.twr.sudrf.ru,,Жарковский районный суд Тверской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Тверская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
balezinskiy.udm.sudrf.ru,,Балезинский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
glazovskiygor.udm.sudrf.ru,,Глазовский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
leninskiy.udm.sudrf.ru,,Ленинский районный суд города Ижевска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
malopurginskiy.udm.sudrf.ru,,Малопургинский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
mozhginskiygor.udm.sudrf.ru,,Можгинский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sarapulskiy.udm.sudrf.ru,,Сарапульский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
sarapulskiygor.udm.sudrf.ru,,Сарапульский городской суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.udm.sudrf.ru,,Управление Судебного департамента в Удмуртской Республике,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
uvinskiy.udm.sudrf.ru,,Увинский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
vs.udm.sudrf.ru,,Верховный Суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
yukamenskiy.udm.sudrf.ru,,Юкаменский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zavyalovskiy.udm.sudrf.ru,,Завьяловский районный суд Удмуртской Республики,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Удмуртская республика,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
inzenskiy.uln.sudrf.ru,,Инзенский районный суд Ульяновской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
leninskiy.uln.sudrf.ru,,Ленинский районный суд города Ульяновска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
mainskiy.uln.sudrf.ru,,Майнский районный суд Ульяновской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
usd.uln.sudrf.ru,,Управление Судебного департамента в Ульяновской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zasvijajskiy.uln.sudrf.ru,,Засвияжский районный суд города Ульяновска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zavolgskiy.uln.sudrf.ru,,Заволжский районный суд города Ульяновска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
zjeleznodorogniy.uln.sudrf.ru,,Железнодорожный районный суд города Ульяновска,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
alarsky.uso.sudrf.ru,,Аларский районный суд Иркутской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
osinsky.uso.sudrf.ru,,Осинский районный суд Иркутской области,Официальный сайт суда,Судебный департамент при Верховном суде РФ,,Ульяновская область,"""ГАС РФ """"Правосудие""""""",Да,Нет,200,,,Малый,Web Archive,12389,RU,79.133.87.8,Судебная власть
